"A4","0018216","GardaPyth/4","Bootschoen Pyth",6,7,0,0,"","44","ZWART",279,199.00,599.95,"21.00",1.00,"","","","","","","","","","","","",""
"A1","0018226","Marostica/4","Gymp",6,2,0,0,"2014 Zomer","44","WIT",279,113.00,289.95,"21.00",1.00,"","","","","","","","","","","","",""
"A1","0018366","43S4KSFE5B/4","Enkelgymp Studs",8,3,0,0,"2014 Zomer","40","ROOM/ROSE",98,83.00,224.95,"21.00",1.00,"","","","","","","","","","","","",""
"A2","0018404","5253/5","Suede Pump 3/4H",8,2,0,0,"F/W 14/15","36 1/2","ZWART",275,51.50,139.95,"21.00",1.00,"","","","","","","","","","","","",""
"A2","0018405","5253/5","Suede Pump 3/4H",8,2,0,0,"F/W 14/15","37","ZWART",275,51.50,139.95,"21.00",1.00,"","","","","","","","","","","","",""
"A2","0018409","5253/5","Suede Pump 3/4H",8,2,0,0,"F/W 14/15","39","ZWART",275,51.50,139.95,"21.00",1.00,"","","","","","","","","","","","",""
"A1","0018411","510D/5","Enkelgymp Pyth",8,3,0,0,"F/W 14/15","35","ROOM",285,68.00,179.95,"21.00",1.00,"","","","","","","","","","","","",""
"A4","0018427","Huntress/5","Kuitl Band/Gesp",8,1,1,0,"F/W 14/15","41","ZWART",286,67.85,189.95,"21.00",2.00,"","","","","","","","","","","","",""
"A4","0018428","Huntress/5","Kuitl Band/Gesp",8,1,1,0,"F/W 14/15","42","ZWART",286,67.85,189.95,"21.00",1.00,"","","","","","","","","","","","",""
"A4","0018516","H41054/5","Gymp Gevoerd",9,1,4,0,"F/W 14/15","24","GOUD",293,66.00,169.95,"21.00",1.00,"","","","","","","","","","","","",""
"A3","00187410","ZK505/5","Schoen Gevoerd",9,4,1,0,"F/W 14/15","15","BLAUW",159,36.50,94.95,"21.00",2.00,"","","","","","","","","","","","",""
"A3","00189425","BN Rainboot","Kaplaarsjes",9,7,1,0,"F/W15/16","21","D BLAUW",297,11.34,27.99,"21.00",1.00,"","","","","","","","","","","","",""
"A2","0018943","BN Rainboot","Kaplaarsjes",9,7,1,0,"F/W15/16","21","ROSE",297,11.34,27.99,"21.00",1.00,"","","","","","","","","","","","",""
"A2","0018944","BN Rainboot","Kaplaarsjes",9,7,1,0,"F/W15/16","22","ROSE",297,11.34,27.99,"21.00",1.00,"","","","","","","","","","","","",""
"A3","0018944","BN Rainboot","Kaplaarsjes",9,7,1,0,"F/W15/16","22","ROSE",297,11.34,27.99,"21.00",1.00,"","","","","","","","","","","","",""
