"3,8,2,0","DAMESSCHOENEN > SANDALEN > 7/8HAK"
"3,8,3,0","DAMESSCHOENEN > SANDALEN > 3/4HAK"
"3,8,4,0","DAMESSCHOENEN > SANDALEN > PL/HAK"
"3,8,5,0","DAMESSCHOENEN > SANDALEN > KURKHAK"
"3,8,6,0","DAMESSCHOENEN > SANDALEN > SLEEHAK"
"3,8,7,0","DAMESSCHOENEN > SANDALEN > BANDEN"
"3,8,8,0","DAMESSCHOENEN > SANDALEN > 3/4 SL/HAK"
"3,8,9,0","DAMESSCHOENEN > SANDALEN > BL/HAK"
"3,8,10,0","DAMESSCHOENEN > SANDALEN > TEENSANDAAL"
"3,8,11,0","DAMESSCHOENEN > SANDALEN > 3/4 BL/HAK"
"3,9,1,0","DAMESSCHOENEN > PANTOFFELS > LUXE"
"3,9,2,0","DAMESSCHOENEN > PANTOFFELS > VACHT"
"3,10,1,0","DAMESSCHOENEN > FLAT > PL/H"
"3,11,1,0","DAMESSCHOENEN > INSTAPPERS > SPITSE NEUS"
"3,11,2,0","DAMESSCHOENEN > INSTAPPERS > PLATTE HAK"
"3,11,3,0","DAMESSCHOENEN > INSTAPPERS > SLEEHAK"
"4,1,1,0","KINDERSCHOENEN > MEISJES > ENKELLAARZEN"
"4,1,2,0","KINDERSCHOENEN > MEISJES > KUITLAARS"
"4,1,3,0","KINDERSCHOENEN > MEISJES > KNIELAARS"
"4,1,4,0","KINDERSCHOENEN > MEISJES > SNEAKERS"
"4,1,5,0","KINDERSCHOENEN > MEISJES > SLIPPERS"
"4,1,6,0","KINDERSCHOENEN > MEISJES > OVERIG"
"4,1,7,0","KINDERSCHOENEN > MEISJES > SCHOEN"
"4,1,8,0","KINDERSCHOENEN > MEISJES > SNOWBOOT"
"4,1,9,0","KINDERSCHOENEN > MEISJES > KAPLAARS"
"4,1,10,0","KINDERSCHOENEN > MEISJES > ENKELSCHOEN"
"4,1,11,0","KINDERSCHOENEN > MEISJES > SLOFFEN"
"4,1,12,0","KINDERSCHOENEN > MEISJES > PANTOFFELS"
"4,1,13,0","KINDERSCHOENEN > MEISJES > BALLERINA'S"
"4,1,14,0","KINDERSCHOENEN > MEISJES > WREEFBAND SCHOEN"
"4,1,15,0","KINDERSCHOENEN > MEISJES > KAPLAARS"
"4,1,16,0","KINDERSCHOENEN > MEISJES > SANDAAL"
"4,1,17,0","KINDERSCHOENEN > MEISJES > INSTAPPER"
"4,1,18,0","KINDERSCHOENEN > MEISJES > TEENSANDAAL"
"4,1,19,0","KINDERSCHOENEN > MEISJES > BOOTSCHOEN"
"4,1,20,0","KINDERSCHOENEN > MEISJES > RIJGLAARS"
"4,1,21,0","KINDERSCHOENEN > MEISJES > VETERSCHOEN"
"4,1,22,0","KINDERSCHOENEN > MEISJES > ENKELSCHOEN"
"4,1,23,0","KINDERSCHOENEN > MEISJES > T-BANDSCHOEN"
"4,2,1,0","KINDERSCHOENEN > JONGENS > SNEAKERS"
"4,2,2,0","KINDERSCHOENEN > JONGENS > SLIPPERS"
"4,2,3,0","KINDERSCHOENEN > JONGENS > ENKELLAARZEN"
"4,2,4,0","KINDERSCHOENEN > JONGENS > SCHOEN"
"4,2,5,0","KINDERSCHOENEN > JONGENS > BERGSCHOEN"
"4,2,6,0","KINDERSCHOENEN > JONGENS > ENKELSCHOEN"
"4,2,7,0","KINDERSCHOENEN > JONGENS > SNOWBOOT"
"4,2,8,0","KINDERSCHOENEN > JONGENS > PANTOFFEL"
"4,2,9,0","KINDERSCHOENEN > JONGENS > SLIPPERS"
"4,2,10,0","KINDERSCHOENEN > JONGENS > SANDALEN"
"4,2,11,0","KINDERSCHOENEN > JONGENS > WATERSCHOEN"
"4,2,12,0","KINDERSCHOENEN > JONGENS > TEENSANDAAL"
"4,2,13,0","KINDERSCHOENEN > JONGENS > INSTAPPER"
"4,2,14,0","KINDERSCHOENEN > JONGENS > BOOTSCHOEN"
"4,2,15,0","KINDERSCHOENEN > JONGENS > VETERSCHOEN"
"4,2,16,0","KINDERSCHOENEN > JONGENS > KUITLAARS"
"4,2,17,0","KINDERSCHOENEN > JONGENS > BROQUE"
"4,2,18,0","KINDERSCHOENEN > JONGENS > SLOFFEN"
"4,2,19,0","KINDERSCHOENEN > JONGENS > MOCCASIN"
"4,2,20,0","KINDERSCHOENEN > JONGENS > KAPLAARS"
"4,3,1,0","KINDERSCHOENEN > ACCESOIRES > BADJAS"
"4,3,2,0","KINDERSCHOENEN > ACCESOIRES > TRAPPELZAK"
"4,3,3,0","KINDERSCHOENEN > ACCESOIRES > SOKJES"
